4-LETTER WORDS,5-LETTER WORDS,6-LETTER WORDS,7-LETTER WORDS,8-LETTER WORDS
mean adj.平均的；卑鄙的,worth n.价值；财产,regard n.问候；凝视,suppose vt.推想；让（虚拟语气）,advisory adj.咨询的；顾问的；劝告的
mean adj.低劣的；吝啬的,worth adj.值…的,regard vi.注重；注视,suppose vi.猜想；料想,indicate vt.表明；指出
mean vt.意味；想要；意欲,moral adj.道德的；精神上的；品性端正的,regard vt.考虑；看待；尊敬,logical adj.合理的；逻辑学的,indicate vt.预示；象征
mean n.平均值,moral n.道德；寓意,reckon vi.估计；计算；料想,concern n.关系；关心,manifest vt.表明；显示
mean vi.用意,ethic n.伦理；道德规范,reckon vt.估计；认为；计算,concern n.忧虑；关心的事,manifest vi.出现
poll n.投票；投票数,ethic adj.伦理的；道德的（等于ethical）,ponder vi.考虑；沉思,concern vt.关系到；使担心,manifest n.货单；旅客名单
poll n.投票所；民意测验,logic n.逻辑；逻辑学；逻辑性,ponder vt.衡量；仔细考虑,anxiety n.焦虑；渴望,manifest adj.明显的；明白的
poll adj.无角的；剪过毛的；修过枝的,logic adj.逻辑的,reason n.理由；理性；动机,anxiety n.挂念；令人焦虑的事,approval n.批准；认可；赞成
poll vt.投票；剪短,worry n.担心；烦恼；撕咬,reason vt.说服；推论；辩论,anxious adj.焦虑的；担忧的,valuable n.贵重物品
poll vt.获得选票；对…进行民意测验,worry vi.担心；烦恼；撕咬,reason vi.推论；劝说,anxious adj.渴望的；急切的,valuable adj.贵重的；有价值的；可估价的
poll vi.投票,worry vt.担心；发愁；折磨,ground n.地面；土地；范围,edition n.版本,morality n.道德；美德
mode n.模式；方式,power n.幂；能力,ground v.压迫；研磨（grind的过去分词）,version n.版本；译文；倒转术,treasure n.财产；财宝；珍品
mode n.风格；时尚,power n.功率；势力,ground adj.土地的；磨碎的,publish vi.出版；发行；刊印,treasure vt.珍爱；珍藏
feud n.不和；争执,power adj.借影响有权势人物以操纵权力的,ground adj.磨过的；地面上的,publish vt.出版；发表；公布,treasury n.金库；宝库；财政部
feud n.封地；（部落或家族间的）世仇,power vt.激励；供以动力；使…有力量,ground vt.打基础；使搁浅；使接触地面,opinion n.意见；主张,consider vi.考虑；认为；细想
feud vi.长期不和；长期争斗,power vi.快速前进,ground vi.着陆；搁浅,outlook n.展望；观点；景色,consider vt.考虑；认为
plot n.图；情节；阴谋,issue n.问题；流出,impact vi.影响；撞击,outlook vt.比……好看；用目光压倒,consider vt.细想；考虑到
plot vt.密谋；绘图,issue n.期号；发行物,impact vi.冲突；with）,outlook vi.朝外看,supposed v.假定（suppose的过去分词）
plot vt.划分；标绘,issue vt.发布；发给；排出,impact n.影响；效果,scenery n.风景；景色；舞台布景,supposed adj.假定的；想象上的；被信以为真的
plot vi.密谋；策划；绘制,issue vi.发行；流出,impact n.碰撞；冲击力,benefit n.好处；救济金,meditate vt.考虑；计划；企图
grow vi.发展；生长；渐渐变得…,issue vi.传下；造成…结果,impact vt.压紧；撞击；对…产生影响,benefit vt.对…有益,meditate vi.冥想；沉思
grow vt.种植；扩展；使生长,point n.要点；得分,affect n.情感；引起感情的因素,benefit vi.得益,argument n.论证；论据
boom n.繁荣；吊杆；隆隆声,point n.标点；尖端,affect vt.影响；感染,measure n.测量；措施,argument n.争吵；内容提要
boom vt.使兴旺；发隆隆声,point vt.指向；弄尖；加标点于,affect vt.感动；假装,measure n.程度；尺寸,powerful adj.强大的；强有力的
boom vi.急速发展；发隆隆声,point vi.表明；指向,affect vi.倾向；喜欢,measure vt.测量；估量；权衡,powerful adv.很；非常
fund n.基金；资金；存款,sight n.视力；景象,affair n.事情；事务,measure vi.测量；估量,scenario n.方案；情节
fund vt.投资；资助,sight n.眼界；见解,affair n.私事；（尤指关系不长久的）风流韵事,compute n.计算；估计；推断,scenario n.剧本；设想
gulf n.海湾；深渊,sight adj.即席的；见票即付的,matter n.物质；事件,compute vt.计算；估算；用计算机计算,panorama n.全貌；概论；全景画
gulf n.分歧；漩涡,sight vt.看见；瞄准,matter vi.要紧；有关系,compute vi.计算；估算；推断,interest n.爱好；利息
gulf vt.吞没,sight vi.瞄准；观看,reward n.报酬；报答；酬谢,surface n.表面；表层；外观,interest n.趣味；同行
hole n.孔；穴；突破口,scene n.场面；情景,reward vt.奖励；奖赏,surface adj.肤浅的,interest vt.使……参与；使……感兴趣；引起……的关心
hole vt.凿洞,scene n.景象；事件,virtue n.美德；优点,surface vt.使成平面；使浮出水面,virtuous adj.善良的；贞洁的；正直的
hole vi.穿孔；（高尔夫球等）进洞,gauge n.计量器；标准尺寸；容量规格,virtue n.贞操；功效,surface vi.浮出水面,estimate n.估价；看法
sole n.鞋底；脚底,gauge vt.测量；估计；给…定规格,assess vt.评定；估价；对…征税,arrival n.到来；到达；到达者,estimate vt.估量；评价
sole n.基础；鳎目鱼,count n.计数；计算；伯爵,method n.方法；条理；类函数,average n.平均；海损；平均数,estimate vi.估价
sole adj.唯一的；单独的；仅有的,count vt.计算；认为,method adj.使用体验派表演方法的,average adj.平均的；普通的；通常的,judgment n.判断；裁判
sole vt.触底；上鞋底,count vi.计数；有价值,appear vi.出现；显得；似乎,average vt.使…平衡；将…平均分配；算出…的平均数,judgment n.判决书；辨别力
deal n.交易；待遇,judge vt.判断；审判,arrive vi.到达；成功,average vi.平均为；呈中间色,evaluate vt.评价；估价；求…的值
deal n.份量；（美）政策,judge n.法官；裁判员,arrive vi.达成；出生,meaning n.意义；含义；意图,evaluate vi.评价；估价
deal vi.处理；讨论,judge vi.审判；判决,emerge vi.浮现；摆脱；暴露,meaning adj.意味深长的,appraise vt.鉴定；估价
deal vi.对待；做生意,means n.手段；方法；财产,common n.普通；平民；公有地,meaning v.意味；意思是（mean的ing形式）,ordinary adj.普通的；平凡的；平常的
deal vt.处理；给予,means v.意思是；打算（mean的第三人称单数）,common adj.共同的；普通的,regular n.常客；正式队员；中坚分子,ordinary n.普通；平常的人（或事）
deal vt.分配；发牌,offer vt.提供；出价；试图,common adj.一般的；通常的,regular adj.定期的；合格的；整齐的,provided conj.假如；倘若
pact n.协定；公约,offer n.提议；出价,medium adj.中等的；半生熟的,regular adv.定期地；经常地,provided v.提供；给予（provide的过去式）
pact n.条约；契约,offer n.意图；录取通知书,medium n.方法；媒体,justice n.正义；审判员；法律制裁,supplier n.供应国；供应者
stay n.逗留；停止；支柱,offer vi.提议；出现,medium n.媒介；中间物,justify vi.证明合法；整理版面,dispense vi.豁免
stay vi.停留；坚持,offer vi.献祭；求婚,equity n.公正；衡平法,justify vt.替…辩护；证明…是正当的,dispense vt.分发；免除；执行
stay vi.暂住；停下,serve n.轮到发球,equity n.普通股；抵押资产的净值,provide vt.提供；规定,pollster n.民意调查人；整理民意测验结果的人
stay vt.坚持；暂住；抑制,serve vi.服务；足够,supply n.补给；供应品,provide vt.准备；装备,overview n.综述；概观
last n.最后；上个；鞋楦（做鞋的模型）,serve vi.发球；侍候,supply vt.提供；补充,provide vi.规定；抚养；作准备,approach n.方法；途径；接近
last adj.最后的；最新的,serve vt.供应；为…服务,supply vi.供给；替代,service n.服侍；服役；仪式,approach vt.接近；着手处理
last adj.仅剩的；最不可能…的,serve vt.对…有用；可作…用,afford vt.提供；买得起,service adj.耐用的；服务性的；服现役的,approach vi.靠近
last vi.持续；够用；持久,argue vi.辩论；提出理由,render n.打底；交纳；粉刷,service vt.检修；保养,argument n.论证；论据
last vt.拖过；使维持,argue vt.争论；证明；说服,render vt.致使；提出；实施,serving n.服务；上菜；一份食物,argument n.争吵；内容提要
last adv.最近；最后地；最后一点,clash n.不协调；铿锵声,render vi.给予补偿,serving v.服务（serve的ing形式）,arguable adj.可议的；可疑的；可论证的
base n.垒；基础；底部,clash vt.使碰撞作声,survey n.调查；测量,serving adj.用于上菜的,involved v.涉及；使参与；包含（involve的过去式和过去分词）
base adj.卑鄙的；低劣的,clash vi.抵触；发出铿锵声,survey n.审视；纵览,servant n.佣人；雇工；公务员,involved adj.有关的；卷入的；复杂的
base vt.以…作基础,order n.命令；顺序,survey vt.调查；勘测；俯瞰,furnish vt.提供；供应；装备,instruct vt.指导；通知
dare n.挑战；挑动,order n.规则；定单,survey vi.测量土地,inquire vi.询问；查究；询价,instruct vt.命令；教授
dare vt.敢冒；不惧,order vt.命令；整理；定购,census n.人口调查,inquire vt.询问；查究；问明,director n.主管；导演；人事助理
dare vi.敢；胆敢,order vi.命令；定货,census vt.实施统计调查,inquiry n.探究；调查；质询,directly conj.一…就
defy n.挑战；对抗,grown v.生长；变成；栽培（grow的过去分词）,access n.进入；通路；使用权,channel n.通道；频道；海峡,directly adv.立即；马上；直接地
defy vt.藐视；挑衅,grown adj.长大的；成年的；长满某物的,access vt.使用；存取；接近,channel vt.开导；形成河道,dictator n.独裁者；命令者
defy vt.使落空；公然反抗,bloom n.花；青春；旺盛,avenue n.大街；渠道；林荫大道,quarrel n.吵架；反目；怨言,polished v.擦亮（polish的过去式和过去分词）
toil n.网；辛苦,bloom vt.使开花；使茂盛,debate n.辩论；辩论会,quarrel vi.吵架；争论；挑剔,polished adj.擦亮的；优美的；圆滑的
toil n.苦工；圈套,bloom vi.开花；茂盛,debate vt.讨论,dispute n.辩论；争吵,refinery n.精炼厂；提炼厂；冶炼厂
toil vt.费力地做；使…过度劳累,purse n.(女士)手提袋；(国家、家庭、团体等的)财力,debate vi.讨论,dispute vt.辩论；怀疑,heighten vt.提高；增高
toil vi.辛苦工作；艰难地行进,purse vt.撅嘴；使缩拢,define vt.定义；规定；使明确,dispute vt.阻止；抗拒,heighten vt.加强；使更显著
curb n.抑制；路边；勒马绳,endow vt.赋予；捐赠；天生具有,mental adj.疯的；精神的；脑力的,dispute vi.争论,heighten vi.升高；变强
curb vt.控制；勒住,yield n.产量；收益,mental n.精神病患者,require vt.需要；要求；命令,designer n.设计师；谋划者
link n.环节；关系,yield vt.屈服；产生；放弃,entail vt.必需；承担,involve vt.包含；牵涉,designer adj.赶时髦的；享有盛名的；由设计师专门设计的
link vt.连结；结合,yield vi.投降,entail vt.蕴含；遗传给,involve vt.使陷于；潜心于,intrigue n.阴谋；诡计
link vi.连接起来；联系在一起；将人或物连接或联系起来,cause n.原因；事业；目标,entail n.引起；需要；继承,request n.请求；需要,intrigue n.私通；复杂的事
bond n.债券；结合；约定,cause vt.引起；使遭受,demand n.需求；要求；需要,request vt.请求,intrigue vt.用诡计取得；激起...的兴趣
bond vt.使结合；以…作保,incur vt.引发；蒙受,demand vt.要求；需要；查询,command n.控制；命令；司令部,intrigue vi.私通；密谋
bond vi.团结在一起,spark n.火花；朝气；闪光,demand vi.需要；请求；查问,command vt.指挥；控制；远望,maneuver n.机动；演习
site n.地点；位置；场所,spark vt.发动；鼓舞；求婚,decree n.法令；判决,command vi.指挥；控制,maneuver n.策略；调遣
site vt.设置；为…选址,spark vi.闪烁；求婚；发火花,decree vt.命令；颁布,orderly adj.整齐的；值班的；有秩序的,maneuver vi.机动；演习
pose vi.佯装；摆姿势；矫揉造作,digit n.数字；一指宽；手指或足趾,decree vt.注定；判决,orderly n.勤务兵；传令兵；护理员,maneuver vi.调遣；用计谋
pose vt.形成；摆姿势,trade n.交易；行业；职业,decree vi.注定；发布命令,orderly adv.顺序地；依次地,maneuver vt.机动；演习
pose vt.装模作样；提出…讨论,trade vt.用…进行交换,direct adj.直接的；直系的,dictate n.命令；指示,maneuver vt.用计；调遣
pose n.姿态；装模作样,trade vi.买卖；以物易物,direct adj.亲身的；恰好的,dictate vt.命令；口述；使听写,contrive vt.设计；发明；图谋
post n.岗位；邮件；标杆,apply vi.敷；申请,direct vt.管理；指挥,dictate vi.口述；听写,contrive vi.谋划；设法做到
post vt.张贴；公布,apply vi.适用；请求,direct vt.导演；指向,improve vt.增进；提高…的价值,engineer n.工兵；工程师；火车司机
post vt.邮递；布置,apply vt.敷；申请；应用,direct adv.正好；直接地；按直系关系,improve vi.增加；变得更好,engineer vt.设计；策划；精明地处理
post vi.快速行进,adopt vi.采取；过继,direct vi.指导；指挥,enhance vt.提高；加强；增加,engineer vi.设计；建造
span n.跨距；范围,adopt vt.采取；接受,refine vt.提纯；改善；使…文雅,augment n.增加；增大,conspire vi.共谋；协力
span vt.跨越；持续；以手指测量,adopt vt.收养；正式通过,design n.设计；图案,augment vt.增加；增大,conspire vt.密谋策划
vary vi.变化；变异；违反,exert vt.发挥；施以影响,design vt.设计；计划；构思,augment vi.增加；增大,flourish n.兴旺；茂盛；挥舞
vary vt.改变；变奏；使多样化,trait n.特点；品质；少许,design vi.设计,develop vi.发育；生长,flourish vi.兴旺；茂盛
mind n.精神；意见,weigh n.权衡；称重量,devise n.遗赠,develop vi.进化；显露,flourish vi.活跃；处于旺盛时期
mind n.智力；记忆力,weigh vt.权衡；考虑；称…重量,devise vt.设计；想出；发明,develop vt.开发；进步,flourish vt.夸耀；挥舞
mind vt.介意；照料；专心于,weigh vi.起锚；重量为…,scheme n.计划；组合,develop vt.使成长；使显影,investor n.投资者
mind vi.介意；注意,weigh vi.具有重要性；成为…的重荷,scheme n.体制；诡计,prosper vi.昌盛；成功,generate vt.发生；生殖
stun n.昏迷；打昏,exist vi.存在；生存,scheme vt.计划；策划,prosper vt.使……成功；使……昌盛；使……繁荣,generate vt.使形成；产生物理反应
stun n.惊倒；令人惊叹的事物,exist vi.生活；继续存在,scheme vi.搞阴谋；拟订计划,blossom n.花；开花期,ignition n.点燃；燃烧；点火装置
stun vt.打昏；使震惊；给以深刻的印象,elite n.精英；精华；中坚分子,layout n.布局；设计,blossom n.兴旺期；花开的状态,solitary n.隐士；独居者
cost n.成本；损失,basic n.基础；要素,layout n.安排；陈列,blossom vi.开花；兴旺；发展成,solitary adj.孤独的；独居的
cost vt.花费；使付出；使花许多钱,basic adj.基本的；基础的,format n.格式；版式；开本,funding n.提供资金；用发行长期债券的方法来收回短期债券,suppress vt.抑制；镇压；废止
cost vi.花费,basis n.基础；底部,format vt.使格式化；规定…的格式,funding v.提供资金；积存（fund的ing形式）,restrain vt.控制；约束；制止
gain n.增加；利润；收获,basis n.主要成分；基本原则或原理,format vi.设计版式,capital n.省会；资金,monopoly n.垄断；垄断者；专卖权
gain vi.增加；获利,fight n.打架；斗志,evolve vi.进展；进化；逐步形成,capital n.资本家；大写字母,contract n.合同；婚约
gain vt.获得；增加；赚到,fight vi.打架；与…斗争；反对…提案,evolve vt.进化；进化,capital adj.首都的；重要的；大写的,contract vt.感染；订约；使缩短
reap vt.获得；收割,labor n.劳动；工作,evolve vt.推断出；使逐步形成,sponsor n.赞助者；主办者；保证人,contract vi.收缩；感染；订约
reap vi.收获,labor n.劳工；分娩,growth n.增长；发展,sponsor vt.赞助；发起,continue vt.继续说…；使…继续；使…延长
peer vt.封为贵族；与…同等,labor vi.劳动；努力；苦干,growth n.生长；种植,finance n.金融；财政学,continue vi.延续；连续
peer vi.窥视；盯着看,labor vt.使厌烦；详细分析,thrive vi.兴旺；茁壮成长,finance vt.供给…经费,progress n.发展；前进
peer n.贵族；同龄人；同等的人,slave n.奴隶；从动装置,invest vi.入股；花钱买,finance vi.筹措资金,progress vi.进步；进行
gaze n.凝视；注视,slave vi.苦干；拼命工作,invest vt.投资；覆盖；耗费,produce n.产品,commerce n.贸易；商业；商务
gaze vi.凝视；注视,force n.力量；武力,ignite vt.点燃；使燃烧；使激动,produce vt.生产；引起,business n.商业；生意
risk n.风险；危险；冒险,force n.军队；魄力,ignite vi.点火；燃烧,produce vt.创作；繁殖,business n.交易；事情
risk vt.冒…的危险,force vt.推动；强迫；强加,induce vt.诱导；引起,produce vi.创作,industry n.产业；工业；勤勉
tend vt.照管,might n.力量；威力；势力,induce vt.引诱；感应,product n.产品；结果,exchange n.交换；交流
tend vi.倾向；照顾,might v.可以；应该；或许（may的过去式）,single n.一个；单打；单程票,product n.乘积；作品,exchange n.兑换；交易所
lean vi.倾斜；倚靠,might aux.可能；也许,single adj.单一的；单身的；单程的,trigger n.扳机；触发器；制滑机,exchange vt.交换；交易；兑换
lean vi.倾向；依赖,impel vt.推动；驱使；激励,single vt.选出,trigger vt.引起；触发,exchange vi.交换；交易；兑换
lean adj.瘦的；歉收的,limit n.限制；限度；界线,single vi.击出一垒安打,trigger vi.松开扳柄,adoption n.采用；收养；接受
lean vt.使倾斜,limit vt.限制；限定,manage vt.管理；经营,provoke vt.驱使；激怒,adoptive adj.采用的；有收养关系的
lean n.瘦肉；倾斜；倾斜度,bound n.范围；跳跃,manage vt.控制；设法,provoke vt.煽动；惹起,identity n.身份；一致
care n.关怀；照料,bound adj.必定的；有义务的,manage vi.处理；应付过去,account n.账户；解释；账单,identity n.特性；恒等式
care n.谨慎；忧虑,bound adj.受约束的；装有封面的,dealer n.商人；经销商,account vt.认为；把…视为,contrast n.对比；差别；对照物
care vt.在意；希望或喜欢,bound vt.束缚；使跳跃,dealer n.发牌员,account vi.解释；导致；报账,contrast vt.使对比；使与…对照
care vi.照顾；关心,bound vi.限制；弹起,dealer n.贩毒者,control n.控制；管理,contrast vi.对比；形成对照
care vi.喜爱；顾虑,angle n.方面,treaty n.协议；谈判,control n.抑制；操纵装置,complete adj.完整的；完全的；彻底的
tide n.潮流；潮汐,angle vi.钓鱼；谋取,figure n.数字；人物；图形,control vt.控制；管理；抑制,complete vt.完成
tide vt.随潮漂流,grant n.拨款；授予物,figure vt.计算；认为,manager n.经理；管理人员,absolute n.绝对；绝对事物
fuel n.燃料；刺激因素,grant vt.授予；允许；承认,figure vt.描绘；象征,running n.运转；赛跑；流出,absolute adj.绝对的；完全的；专制的
fuel vt.加燃料,grant vi.同意,figure vi.计算；出现；扮演角色,running v.跑；行驶；运转（run的ing形式）,thorough adj.彻底的；十分的；周密的
fuel vi.得到燃料,donor n.供者；捐赠者；赠送人,course n.科目；课程；过程,running adj.连续的；流动的,achiever n.获得成功的人
plug n.栓；插头；塞子,donor adj.捐献的；经人工授精出生的,course n.进程；道路,running adj.跑着的；运转着的,economic adj.经济上的；经济学的
plug vt.插入；塞住；接插头,range n.排；范围,course n.航向；一道菜,repress vt.抑制；约束；镇压（叛乱等）,existent n.生存者；存在的事物
plug vi.塞住；用插头将与电源接通,range n.幅度；山脉,course vt.追赶；跑过,repress vi.抑制；镇压,existent adj.存在的；生存的
glue n.胶；各种胶合物,range vt.漫游；放牧；使并列,course vi.快跑；指引航线,dealing n.交易；行为,existing adj.目前的；现存的
glue vt.粘合；似胶般固着于,range vi.延伸；漫游；列为一行,resort n.手段；度假胜地；常去之地,bargain n.交易；契约；便宜货,existing v.存在（exist的现在分词）
bind n.捆绑；困境,array n.阵列；列阵,resort vi.诉诸；常去；采取某手段或方法,bargain v.议价；讨价还价；(谈价钱后)卖,survival n.残存；残存物
bind n.讨厌的事情；植物的藤蔓,array n.衣服；一系列,weight n.重力；负担,auction n.拍卖,optional adj.随意的
bind vt.绑；约束；装订,array vt.部署；打扮,weight n.砝码；重要性,auction vt.拍卖；竞卖,optional n.选修科目
bind vi.结合；装订,scope n.范围；余地；视野,weight vt.使变重,digital n.键；数字,basement n.地窖；地下室
bind vi.过紧；有约束力,scope vt.审视,entire adj.整个的；全体的,digital adj.数字的；手指的,defiance n.蔑视；挑战；反抗
nail vt.钉；揭露；使固定,field n.领域；牧场；旷野,thrift n.节俭；节约；海石竹,profile n.侧面；轮廓；外形,struggle n.奋斗；竞争
nail n.指甲；钉子,field adj.扫描场；田赛的；野生的,remain n.遗迹；残骸,profile vt.扼要描述；描…的轮廓,struggle vt.使劲移动；尽力使得
deed n.行动；功绩,field vt.使上场；把暴晒于场上,remain vi.保持；依然；留下,profile vi.给出轮廓,struggle vi.努力；挣扎
deed n.证书；契据,field vi.担任场外队员,linger vi.徘徊；磨蹭；苟延残喘,proceed vi.开始；发生,endeavor n.努力；尽力（等于endeavour）
deed vt.立契转让,sense n.功能；观念,linger vt.消磨；缓慢度过,proceed vi.行进；继续进行,endeavor vi.努力；尽力（等于endeavour）
lead n.铅；领导,sense n.道理；理智,select n.精萃；被挑选者,proceed n.获利,endeavor vt.努力；尽力（等于endeavour）
lead n.导线；榜样,sense vt.检测；感觉到,select adj.精选的；极好的；挑选出来的,process n.进行；步骤；作用,forceful adj.坚强的；强有力的；有说服力的
lead vt.领导；致使,witty adj.诙谐的；富于机智的,select vt.挑选；选拔,process adj.经过特殊加工（或处理）的,strength n.力量；力气
lead vt.引导；指挥,amaze vt.使吃惊,select vi.挑选,process vt.处理；加工,strength n.兵力；长处
lead vi.领导；导致；用水砣测深,shock n.休克；震惊；震动,choose vt.决定,process vi.列队前进,muscular adj.肌肉的；强健的；肌肉发达的
lead adj.带头的；最重要的,shock adj.浓密的；蓬乱的,choose vi.挑选,utilize vt.利用,restrict vt.限制；约束；限定
wage n.工资；代价；报偿,shock vt.使休克；使震惊；使震动,choice n.选择；选择权；精选品,exploit n.勋绩；功绩,boundary n.边界；范围；分界线
wage vt.进行；开展,shock vi.感到震惊；受到震动；堆成禾束堆,choice adj.精选的；仔细推敲的,exploit vt.开拓；剥削；开采,confines n.范围；界限；疆界（confine的复数）
wage vi.进行；发动；从事,awful adj.可怕的；极坏的；使人敬畏的,option n.选项；选择权；买卖的特权,harness n.马具；甲胄；日常工作,confines v.限制；禁闭（confine的三单形式）
lack vt.缺乏；不足,avoid vt.避免；躲避；消除,basics n.基础；基本要素（basic的复数）,harness vt.套；治理；驾驭,relation n.关系；叙述
lack vt.没有；需要,avert vt.防止；转移,bottom n.底部；末端,feature n.特征；容貌；特写或专题节目,relation n.故事；亲属关系
lack vi.缺乏；不足；没有,evade vt.逃避；规避；逃脱,bottom n.臀部；尽头,feature vt.特写；由…主演；以…为特色,position n.方位；工作
lack n.缺乏；不足,evade vi.逃避；规避；逃脱,bottom adj.底部的,feature vi.起重要作用,position n.姿态；站位
cope n.长袍,price n.价格；价值；代价,bottom vt.装底；测量深浅；查明真相,quality n.品质；特性；才能,position vt.安置；把……放在适当位置
cope vi.处理；对付；竞争,price vt.给……定价；问……的价格,bottom vi.到达底部；建立基础,quality adj.优质的；高品质的；<英俚>棒极了,location n.地点；外景拍摄场地；位置（形容词locational）
push n.决心；大规模攻势；矢志的追求,fetch n.取得；诡计,strive vi.努力；奋斗；抗争,compare vi.匹敌；区别；比拟（常与to连用）,attitude n.态度；看法
push vi.推进；增加；努力争取,fetch vt.取来；接来,effort n.努力；成就,compare vt.喻为；构成,attitude n.意见；姿势
push vt.按；增加,fetch vt.到达；吸引,mighty adj.有力的；强有力的；有势力的,compare n.比较,presence n.存在；出席；参加
push vt.逼迫；说服,fetch vi.拿；取物；卖得,mighty adv.很；极；非常,balance n.平衡；余额；匀称,currency n.货币；通货
